# id|name|slot|value|gold|xp|flags|requirements|rewards|accept_requirements
646|Crit ‘em with your best shot|-1|0|150|150||5000:4:1:Defeated Grateful Undead,5001:4:1:Defeated Rock Lobster||
647|REP Speedwagon|-1|0|150|150|U|5002:1:1:Plastic Walrus Toy||
648|Stairway to Haven|27|1|2500|10000|O|4989:4:1:Grateful Undead Shirt,4990:4:1:Rock Lobster tail||
649|Rolling Stones|27|2|2500|10000|O|4991:5:1:Mossy Stone||
650|Light My Fire|27|3|2500|10000|O|4992:1:1:Box of Brightburn Matches||
651|Knockin' on Haven's Door |27|4|7500|25000|O|4993:1:1:Defeated Elwood,4994:1:1:Defeated Jake||
652|Practice makes Perfect Bottle|-1|0|50|50||4894:1:0:Pristine Smoothie Bottle|5153:1:0:Broken Bottle,5163:1:0:Boles' Helm|
653|Tap that Cactus|-1|0|0|0||8724:1:1:Old Water Filter,5018:1:1:Cactus Water (10 Litre)|5155:1:0:Saloon Door Wings,5160:1:0:Slightly Used Spittoon,5164:1:0:Charlie Morning Helm|
654|Get me that Recipe!|-1|0|0|0||8725:1:1:2nd Half of Yulgar's Recipe,4897:1:0:1st Half of Yulgar's Recipe|5152:1:0:Brown Bowler,5154:1:0:Barstool|
655|Tip Out|-1|0|0|0||18349:1:1:Coin Sanitizer,5021:50:1:Annie's Tip||
656|Juice on the Loose|-1|0|100|100||5101:1:1:Pint of Moglinberry Juice,5022:1:1:Pint of Moglinberry Juice,5102:1:1:Pint of Moglinberry Juice|5156:1:0:Poker Hand,5161:1:0:Robert Hat,5162:1:0:Henry Hat|
657|Bottle Trade|-1|0|0|0||4893:100:0:Broken Smoothie Bottle|4894:1:0:Pristine Smoothie Bottle|
658|Staying Alive|27|5|2500|10000|O|5042:8:1:Tattered Sting Sweater||
659|Killer Queen|27|6|7500|25000|O|5043:1:1:Jar of Royal Honey||
660|Satisfaction|27|7|7500|25000|O|24447:1:1:No Shoes!||
661|Dance, Dance, Dance|27|8|7500|25000|O|||
667|Tainted Claw|-1|0|0|0||4937:1:0:Claw of Nulgath,4769:7:0:Tainted Gem,4770:7:0:Dark Crystal Shard,15396:1:1:Blade Master Rune|5061:1:0:Tainted Claw of Nulgath|
668|Purified Claw|-1|0|0|0||4769:7:0:Tainted Gem,4937:1:0:Claw of Nulgath,4770:7:0:Dark Crystal Shard,15397:1:1:Dark Makai Sigil|5062:1:0:Purified Claw of Nulgath|
674|J6 Quiz Game|28|1|0|0|O|||
675|Bad Moon Rising|27|9|2500|10000|O|5121:15:1:Fire Flea||
676|Burning Down The House|27|10|2500|10000|O|5122:1:1:Cannon Powder||
677|Superstition|27|11|2500|10000|O|5123:5:1:Lucky Mozard Claw||
678|Soul Man|27|12|7500|25000|O|5124:1:1:Faustian Contract||
679|Lend a Helping Handkerchief|-1|0|50|75||5136:1:1:Lucky Handkerchief||
680|Two Eyes|-1|0|50|75||5137:1:1:Square-framed Glasses||
681|Beards Rule!|-1|0|50|75||5138:1:1:Epic Beard Comb||
682|Fancied Feather|-1|0|400|300||5139:1:1:Vulture Man feather||
683|Requesting a Request|-1|0|0|0||5140:1:1:Accepted Friend Request,18352:1:1:Patience Elixir||
684|Watch Out!|-1|0|75|50||5141:1:1:Ordinary Watch||
685|Legendary Quest of Adventure|-1|0|33|33||5142:6:1:Lucky Jade Talisman||
686|Classic Hack-n-Slash|-1|0|50|50||5143:6:1:Defeated a Monster||
687|Yeah, another quest|-1|0|60|75||5145:1:1:Dragon Quest Reward Item||
688|Insert Quest Title Here|-1|0|1|1||5146:1:1:Item|5172:1:0:Sketchy Sheathed Shotgun|
689|Key of Life|24|5|250|100||5148:6:1:Glowing Wood Fragment|5165:1:0:Chopping Pole Arm|
690|Key of Dreams|24|6|300|100||5149:6:1:Shining Crystal Fragment|5166:1:0:Champion Mace,5168:1:0:Undead Shovel Sword|
691|Key of Thought|24|7|350|100||5150:6:1:Pitted Stone Fragment|5169:1:0:Angle Blade,5170:1:0:Swirling Blood Blade|
692|Key of the Void|24|8|400|100||5151:1:1:Key of the Void|5173:1:0:Deathknight Blade,5174:1:0:Deathknight Dagger,5175:1:0:Deathknight Spear,5176:1:0:Deathknight Staff|
693|Access Zephyrus|28|2|100|100|O|||
694|Zephyrus End|28|3|100|100|O|5181:1:1:Virtual Crystallized Dragon Breath||
695|Birds on a Train|-1|0|250|100||5179:2:1:Vulture Harness||
696|Ticklish Zorbo Pet|-1|0|0|0||5110:1:0:Ticklish Zorbo Ticket|5171:1:0:Ticklish Zorbo|5110:0:0:Ticklish Zorbo Ticket
697|Ticklish Zorbo Sword|-1|0|0|0||5110:1:0:Ticklish Zorbo Ticket|5167:1:0:Ticklish Zorbo Sword|5110:0:0:Ticklish Zorbo Ticket
698|Mission1|28|4|50|50|O|5182:1:0:Mission 1 Item||
699|Mission2|28|5|100|100|O|5183:1:1:Mission 2 Item||
705|Music Defender|-1|0|25|25||5212:5:1:Music Defender Medal||
706|Mega Music Defender|-1|0|30|30||5213:1:1:Mega Music Defender Medals||
707|Mythsong War Cutscene|27|13|0|5000|O|||
709|Pony Gary Yellow|27|14|10000|40000|O|60664:1:1:Pony Gary Yellow Defeated||
710|Kimberly|27|15|10000|40000|O|35168:1:1:Kimberly Defeated||
711|Turn out the lights.|-1|0|500|500||5241:6:1:Specialist Shut Down||
712|Warm up? No, Warm Down.|-1|0|500|500||5242:10:1:Pyrotech Cooled Off|5245:1:0:One-Eyed Gem,5279:1:0:One-Eyed Gem|
713|This Is Key|-1|0|50|50||5292:1:1:Unknown Key 1|5287:1:0:Simple Key|
714|I Love The Keys|-1|0|100|100||5293:1:1:Unknown Key 2,5287:1:0:Simple Key|5288:1:0:Complex Key|
715|Off Key|-1|0|100|100||5288:1:0:Complex Key,5294:1:1:Unknown Key 3|5289:1:0:Golden Key|
716|We're Going To Need A Bigger Key|-1|0|100|100||5289:1:0:Golden Key,5295:1:1:Unknown Key 4|5290:1:0:Hollowsoul Key|
717|Property Appraiser|29|1|0|0|O|5323:1:1:Obvious Villager Clue||
718|Pain in the Grass|29|2|150|150||5324:6:1:Pristine Ant-tenna||
719|Dust Busting|29|3|250|250||5325:12:1:Bunnies Dusted||
720|Cat-astrophe|29|4|500|500|O|5326:1:1:Giant Cat Defeated||
721|Skynner's List|29|5|100|100|O|5347:1:1:Skynner's List||
722|A Mushy Situation|29|6|250|250|O|5348:12:1:Red Mushroom||
723|W-Tea F|29|7|150|150|O|5349:1:1:W-Tea F||
724|A Skunkweed By Any Other Name...|29|8|0|200|O|5350:1:1:Skunkweed Perfume||
725|There Is No Spoon|29|9|200|250|O|5351:1:1:Special Ironwood Spoon|5354:1:0:Smuurvil Pain Spoon|
726|Totem of Nulgath|-1|0|0|0||5356:25:0:Essence of Nulgath,538:1:0:Taro's Manslayer|5357:1:0:Totem of Nulgath|
737|Spare Parts|29|10|100|300|O|5377:1:1:Racer Part; Pencil,5378:1:1:Racer Part; Cork,5379:1:1:Racer Part; TP Roll,5380:1:1:Racer Part; Scissors,5381:1:1:Racer Part; Can,5382:1:1:Racer Part; Rubber Duck Head||
738|4 Trophy Prizes|-1|0|0|0||15676:4:1:Gold Roach Wing,5419:4:0:Racing Trophy|5387:1:0:Mushroom Head (Mem),5390:1:0:Dinner Knife,5393:1:0:Spoon,5396:1:0:Cherry,5402:1:0:Gravy Slick,5414:1:0:Watermelon (Mem),5417:1:0:Dinner Plate|
739|20 Trophy Prizes|-1|0|0|0||15677:10:1:Gold Roach Antenna,5419:20:0:Racing Trophy|5389:1:0:Silver Claymore,5395:1:0:Candle,5403:1:0:Plate with Knife (Mem),5406:1:0:Bowl full of Jelly (Mem),5407:1:0:Coffee Pot (Mem),5411:1:0:Balsamic Vinegar,5415:1:0:Oil Bottle,5420:1:0:Nemesis Dinner Knife (Mem)|
740|50 Trophy Prizes|-1|0|0|0||15678:10:1:Gold Roach Carapace,5419:50:0:Racing Trophy|5359:1:0:Pocket Racer Pet (Mem),5391:1:0:Silver Dagger,5398:1:0:Gravy Boat (Mem),5399:1:0:Pepper Shaker (Mem),5400:1:0:Salt Shaker (Mem),5404:1:0:Napkin on Plate (Mem),5413:1:0:Apple,5416:1:0:Mashed Potatoes,5421:1:0:Fork of Ruin (Mem),5422:1:0:Spork of Havoc (Mem)|
741|100 Trophy Prizes|-1|0|0|0||5419:100:0:Racing Trophy,15679:10:1:Gold Roach Leg|5360:1:0:Custom Racer Pet (Mem),5383:1:0:Spicelord (Mem),5386:1:0:Spicelord Helm (Mem),5392:1:0:Silver Light Axe,5397:1:0:Bread (Mem),5401:1:0:Tea Cup (Mem),5405:1:0:Tin Can (Mem),5410:1:0:Cork,5412:1:0:Orange,5418:1:0:Apple Pie (Mem)|
742|150 Trophy Prizes|-1|0|0|0||15680:10:1:Gold Roach Head,5419:150:0:Racing Trophy|5358:1:0:Roach Racer Pet (Mem),5361:1:0:Roach Racer (Mem),5362:1:0:Pocket Racer (Mem),5384:1:0:Iron Bolt Armor,5385:1:0:Thimble Helm,5388:1:0:Forked Trident (Mem),5394:1:0:Turkey Plate (Mem),5408:1:0:Toilet Paper Roll|
743|Racer|29|11|0|0|O|||
744|Trophy Reward 5|-1|0|0|0|||5419:5:0:Racing Trophy|
745|Trophy Reward 7|-1|0|0|0|||5419:7:0:Racing Trophy|
746|Trophy Reward 10|-1|0|0|0|||5419:10:0:Racing Trophy|
747|Andre's Foot Defeated|29|12|2000|2000|O|39152:1:1:Foot Defeated||
748|Flea be Gone|29|13|750|750|O|38609:3:1:Flea Defeated||
749|Free the Key|29|14|1000|1000|O|39153:1:1:Key Freed||
750|Listen to George Lowe's story|30|1|50|50|O|||
751|Ladies First!|30|2|100|100||5453:6:1:Slime-girls||
752|Slimy Boys|30|3|125|125||5454:6:1:Slime-boys||
753|The Slime Masquerade|30|4|150|150||5455:8:1:Slime Goo||
754|ONE OF THEM|30|5|175|175|O|5456:1:1:Warlic's Info||
755|Spilt Salt|30|6|200|200||5457:8:1:Salt||
756|Defeat the Giant Brain Slime Prime|30|7|2000|1000|O|||
757|The First 6 Chapters|30|8|250|250||5504:1:1:Lowe-anomicon Chapter 2,5505:1:1:Lowe-anomicon Chapter 3,5506:1:1:Lowe-anomicon Chapter 4,5507:1:1:Lowe-anomicon Chapter 5,5508:1:1:Lowe-anomicon Chapter 6,5503:1:1:Lowe-anomicon Chapter 1||
758|The Last 6 Chapters|30|9|275|275||5509:1:1:Lowe-anomicon Chapter 7,5510:1:1:Lowe-anomicon Chapter 8,5511:1:1:Lowe-anomicon Chapter 9,5512:1:1:Lowe-anomicon Chapter 10,5513:1:1:Lowe-anomicon Chapter 11,5514:1:1:Lowe-anomicon Chapter 12||
759|The Glossary|30|10|300|300||5460:1:1:Glossary||
760|Cover Me|30|11|325|325||5461:1:1:Lowe-anomicon Cover||
761|Dweam-Maze|30|12|350|350|O|||
762|Big Bad Kwueger Man|30|13|375|375|O|||
763|George Lowe-viathan|30|14|400|400|O|||
764|Super George Lowe-viathan|-1|0|500|500||5464:1:1:Lowe-viathan Egg||
765|Twisted Items of Nulgath|-1|0|0|0||5357:3:0:Totem of Nulgath,15391:1:1:Skull Warrior Rune|1316:1:0:DragonFire of Nulgath,4695:1:0:Crimson Plate of Nulgath,4961:1:0:Crimson Face Plate of Nulgath|
766|Demanding Items of Nulgath|-1|0|999999|999999||4961:1:0:Crimson Face Plate of Nulgath,1316:1:0:DragonFire of Nulgath,5469:1:0:Behemoth Blade of Light,5470:1:0:Behemoth Blade of Shadow,4695:1:0:Crimson Plate of Nulgath,5357:3:0:Totem of Nulgath,15390:1:1:Legion Fenrir Rune|5483:1:0:DragonBlade of Nulgath|
768|Conqueror of Shadow Armor|-1|0|0|0|U|4889:350:0:Combat Trophy|5466:1:0:Conqueror of Shadow|
779|Bearded Helm of Glory|-1|0|0|0||4889:50:0:Combat Trophy|5477:1:0:Bearded Helm of Glory|
780|The Armet of the Afterlife|-1|0|0|0|U|4889:55:0:Combat Trophy,5479:1:0:Steel Afterlife|5478:1:0:The Armet of the Afterlife|
786|Roasted Marshmallow on a Stick|-1|0|0|0|U|5486:1:0:Marshmallow on a Stick,18346:1:1:Burning Ember|5485:1:0:Roasted Marshmallow|
787|Nuked Mallow|-1|0|0|0||5521:1:0:Radioactive Marshmallow,18346:1:1:Burning Ember,5486:1:0:Marshmallow on a Stick|5487:1:0:Nuked Mallow|
788|Make a Marshmallow on a Stick|-1|0|0|0||5520:1:1:Stick,18346:1:1:Burning Ember,5519:1:1:Plain Marshmallow|5486:1:0:Marshmallow on a Stick|
789|Undead Champion Initiation|31|1|100|100||5541:1:1:Black Knight's Eternal Contract||1770:0:0:Undead Warrior
790|Mourn the Soldiers|31|2|75|75||5544:1:1:Chaos Drow slain,5545:1:1:Fishman Soldier slain,5546:1:1:Dwakel Soldier slain,5542:1:1:Skeletal Soldier slain||1770:0:0:Undead Warrior
791|Understanding Undead Champions|31|3|50|50||5547:80:0:Ravaged Champion Soul||1770:0:0:Undead Warrior
792|Player vs Power|31|4|25|25||4889:200:0:Combat Trophy||1770:0:0:Undead Warrior
793|Fail to the King|31|5|1|1||5548:25:1:King's Guard Slain||1770:0:0:Undead Warrior
794|A Necessary Sacrifice|-1|0|150|150||5573:10:1:Defeated Seed Spitter||
795|Gorillaphant Poaching|-1|0|150|150||5574:7:1:Slain Gorillaphant||
796|Mustard and Pretzel Root|-1|0|200|150||5576:4:1:Pretzel Root,5577:3:1:Batch of Mustard Seeds||
797|Thyme and a Half|-1|0|150|200||5578:10:1:Bundle of Thyme||
798|Thistle Do Nicely|-1|0|200|150||5580:5:1:Thistle||
799|Pleased to Meat You|-1|0|150|150||5582:8:1:Lore-Strip Gorillaphant Steak||
800|ArcanRobe|-1|0|250|200||5583:10:1:Spool of Arcane Thread|61185:1:0:Druid Fabric|
801|Ebony and Ivory Tusks|-1|0|150|150||5585:6:1:Gorillaphant Tusk|61185:1:0:Druid Fabric|
802|Experiment 107: Elder's Blood Potion|-1|0|600|600||5574:50:1:Slain Gorillaphant|5586:1:0:Elders' Blood|
803|Experiment 231: Sparrow Blood Potion|-1|0|800|800||5592:12:1:DOOM Dirt,5593:17:1:Snapdrake,5594:30:1:Blood Lily|5584:1:0:Sparrow's Blood|
804|Experiment 808: Viper's Blood Potion|-1|0|400|400||5595:20:1:Jagged Cherries,5596:10:1:Shard Cabbage,5597:15:1:Joyshard,5598:1:1:Sourpalm|5581:1:0:Viper's Blood|
805|Observing the Observatory|32|1|200|200|O|5600:1:1:Arcangrove Info||
806|Ewa the Treekeeper|32|2|200|200|O|5622:1:1:Found Ewa||
807|Bear Necessities of LifeRoot|32|3|500|500|O|5601:1:1:LifeRoot||
808|Acorny Quest|32|4|500|500|O|5602:10:1:Acornent Shell||
809|Ravenloss|32|5|500|500|O|5603:8:1:Cloister Fruit Bundle||
810|It's A Bough-t Time|32|6|500|500|O|5572:1:0:Mana Potion,5604:3:1:Revived Bough||
811|Wendigo Whereabouts|32|7|1000|1000|O|5621:1:1:Defeated Wendigo||
812|Sprig Cleaning|-1|0|0|0|U|5612:20:1:Slain Acornent,5613:20:1:Slain Karasu,5614:1:1:Slain Wendigo|5608:1:0:Gift of the Wild|
813|Find Paddy Lump|32|8|200|300|O|5623:1:1:Found Paddylump||
814|Toothy Smiles|32|9|500|500|O|5624:10:1:Swamp Lurker Tooth||
815|Slimy Cyrus|32|10|500|500|O|5625:5:1:Slimy Skin||
816|Lord Of The Fleas|32|11|500|500|O|5626:12:1:HUGE flea||
817|Not The Best Idea |32|12|500|500|O|5627:12:1:Slain Frogdrake||
818|Gates and Guardians|32|13|500|500|O|5628:1:1:Rod of Defiance||
819|Scales and Tails|-1|0|400|500||5672:10:1:Lurker Scale,5671:10:1:Frogdrake Tail||
820|Omnomnoms|-1|0|500|400||5669:15:1:Wiggly Worm,5670:10:1:MegaMite|32204:1:0:Paddylump's Elixir|
821|Legion Exercise Number 1|-1|0|50|50||5680:1:1:Golden DracoHeart,5681:1:1:Dark DracoHeart,5682:1:1:Mammoth DracoHeart,5683:1:1:Water DracoHeart,5684:1:1:Venom DracoHeart,5685:1:1:Iron DracoHeart,5686:1:1:Chaotic DracoHeart,5677:40:0:Flawless DracoHorn|6521:1:0:Legion Token,5637:1:0:Undead Champion Blade,5638:1:0:Legendary Golden Death Blade|5518:0:0:Undead Champion
822|Legion Exercise Number 2|-1|0|50|50||292:1:0:Grumble's Curse,5678:20:0:Charred Skull,5679:1:1:Intact Tiger Leech Hide|6521:1:0:Legion Token,5650:1:0:Executioner's Judgement|5518:0:0:Undead Champion
823|Legion Exercise Number 3|-1|0|50|50||5688:50:0:Chaorrupted Essence,15384:1:1:Darkness Core,5687:24:0:Chaos Egg|6521:1:0:Legion Token,5651:1:0:Judgement Hammer|5518:0:0:Undead Champion
824|Legion Exercise Number 4|-1|0|50|50||312:1:0:Soul Scythe,5689:15:1:Frostbit Skull,15401:1:1:Potent Viper's Blood|6521:1:0:Legion Token,5652:1:0:Judgement Scythe,5690:1:0:Soul Eater Advanced,5757:1:0:PainSaw of Eidolon,6333:1:0:Corrupted Dragon Slayer|5518:0:0:Undead Champion
825|Water You Waiting For--Find Nisse|32|14|300|200|O|5710:1:1:Nisse Found||
826|Dive Right In|32|15|500|500|O|5711:12:1:Chaorrupted Coral||
827|Seafood Diet|32|16|500|500|O|5712:20:1:Angler Filet||
828|Mercenaries|32|17|500|500|O|5713:15:1:Rescued Merfolk||
829|Synchronized Slaying|32|18|500|500|O|5720:1:1:Sea Whip,5721:6:1:Anemones,5717:5:1:Brain Coral,5718:4:1:Staghorns,5719:3:1:Sea Fan||
830|The Deep End|32|19|750|750|O|5722:1:1:Defeated Nessie||
831|Find Umbra, the Master Shaman|32|20|300|200|O|5729:1:1:Umbra Found||
832|The Root of Elementals|32|21|500|500|O|5730:5:1:Dregs Essence,5731:4:1:Spitter Spirit||
833|Eupotamic Elementals|32|22|500|500|O|5732:5:1:Aqueous Essence,5733:6:1:MerCore||
834|Breaking Wind Elementals|32|23|650|600|O|5734:5:1:Welkin Essence,5735:8:1:Karasu Soul||
835|Fight Fire With Fire Salamanders|32|24|700|750|O|5736:5:1:Pyre Essence,5737:5:1:Fire Salamander||
836|Guardian of the Gilead Wrap|32|25|800|800|O|5738:1:1:Defeated Mana Elemental||
837|Juggernaut Items of Nulgath|-1|0|500000|13000||4769:50:0:Tainted Gem,4770:50:0:Dark Crystal Shard,4771:13:0:Diamond of Nulgath,15389:1:1:Undead Bruiser Rune,6136:20:0:Gem of Nulgath,5357:3:0:Totem of Nulgath,4862:1:0:Voucher of Nulgath (non-mem)|2232:1:0:Oblivion of Nulgath,4939:1:0:Ungodly Reavers of Nulgath,5527:1:0:Warlord of Nulgath,5530:1:0:Arcane of Nulgath,5531:1:0:Dimensional Champion of Nulgath,6137:1:0:Crystal Phoenix Blade of Nulgath,6138:1:0:Overfiend Blade of Nulgath,6141:1:0:Battlefiend Blade of Nulgath,6142:1:0:Dark Makai of Nulgath,6375:1:0:Nulgath Armor,42596:1:0:Polish Hussar,42597:1:0:Polish Hussar Helm,42598:1:0:Polish Hussar Spear,42599:1:0:Polish Hussar Wings,52799:1:0:Void Cowboy,52800:1:0:Void Cowboy Hat,52801:1:0:Void Cowboy Morph,52802:1:0:Void Cowboy's Mask + Locks,52803:1:0:Void Cowboy's Pistol,52818:1:0:Dual Void Cowboy Pistols|4762:0:0:Unidentified 13
838|Find Felsic the Magma Golem|32|26|350|250|O|5780:1:1:Felsic Found||
839|Liquid Hot Magma Maggots|32|27|600|500|O|5781:8:1:Volcanic Maggot Slain||
840|Scorched Serpents|32|28|550|500|O|5782:5:1:Captured Alpha Serpent||
841|Playing With Living Fire|32|29|700|600|O|5783:10:1:Extinguished Living Fire||
842|Kindling Relationship|32|30|800|700|O|5784:1:1:Mafic Dragon Defeated!||
843|Obey Your Thirst for Adventure|32|31|500|650|O|6122:8:1:Captured Mana Imps||
844|Captain Falcons|32|32|600|750|O|6123:5:1:Astral Feather||
845|Big, Bad, and Baddest Bosses|32|33|700|850|O|6128:1:1:Astral Orb of Mafic,6124:1:1:Astral Orb of the Cloister,6125:1:1:Astral Orb of Mudluk,6126:1:1:Astral Orb of Natatorium,6127:1:1:Astral Orb of Gilead||
846|The Great Mana Golem|32|34|800|1000|O|6129:1:1:Mana Golem Defeated||
847|Chaos Lord Ledgermayne|32|35|1000|2000|O|6239:1:1:Ledgermayne Defeated||
848|Feed Me|-1|0|0|0|U|5787:1:1:Burning Heart|5766:1:0:Fire Extingusher|
849|Tacomancer Armor!|-1|0|300|250||1961:1:0:Shadow Terror Axe,5788:1:1:Tortilla Shell,5789:1:1:Grade D Meat Byproduct,5790:1:1:Shredded Cheese|13871:1:0:Tacomancer 12|
866|A Timely Meating|-1|0|100|100|U|5824:10:1:Top Loin Steak,5825:10:1:Chaos Chicken Drumette,5826:10:1:Sliced Bacon|5823:1:0:Sausage Chucks|
867|Hire Nulgath Larvae|-1|0|0|0|U|4861:1:0:Voucher of Nulgath,15387:1:1:Undead Legend Rune|5533:1:0:Nulgath Larvae|
868|Nulgath (Rare)|-1|0|13000|300||15385:5:1:Charged Mana Energy for Nulgath,6135:1:0:Mana Energy for Nulgath|4723:1:0:Unidentified 10,4762:1:0:Unidentified 13,4769:2:0:Tainted Gem,4770:2:0:Dark Crystal Shard,4771:2:0:Diamond of Nulgath,4861:1:0:Voucher of Nulgath,4862:1:0:Voucher of Nulgath (non-mem),5052:1:0:Hex Blade of Nulgath,5357:1:0:Totem of Nulgath,5528:1:0:Voidfangs of Nulgath,5529:1:0:Bane of Nulgath,5532:1:0:Shifter Helm of Nulgath,6136:1:0:Gem of Nulgath,6533:1:0:Nulgath Horns,8065:1:0:8th Betrayal Blade of Nulgath,8066:1:0:7th Betrayal Blade of Nulgath,8067:1:0:6th Betrayal Blade of Nulgath,8068:1:0:5th Betrayal Blade of Nulgath,22332:1:0:Blood Gem of the Archfiend|4809:0:0:Oblivion Blade of Nulgath (Rare)
869|Diamond Exchange|-1|0|0|0||15397:1:1:Dark Makai Sigil,4771:15:0:Diamond of Nulgath|4762:1:0:Unidentified 13|4845:0:0:Crag & Bamboozle
870|Contract Exchange|-1|0|0|0||15396:1:1:Blade Master Rune,4762:1:0:Unidentified 13|4769:8:0:Tainted Gem,4770:4:0:Dark Crystal Shard,4771:15:0:Diamond of Nulgath,6136:2:0:Gem of Nulgath,22332:1:0:Blood Gem of the Archfiend|4763:0:0:Drudgen the Assistant
871|Investigate the Farmhouse|13|19|50|50|O|6177:1:1:Farmhouse Investigated||
872|Children of Chaos|13|20|550|400||6178:10:1:Freed Chaos Kid||
873|Where is that Barn Key?|13|21|600|450||6179:1:1:Candy Corn Barn Key||
874|Investigate the Barn|13|22|50|50|O|6180:1:1:Barn Investigated||
875|Malik-EYE is so Grounded|13|23|650|500||6181:1:1:Malik-EYE Grounded||
876|Clearing the Candy Corn Field |13|24|700|650||6182:10:1:Field Guardian Slain||
877|So Sick of EYE-Sac|13|25|750|700||6183:1:1:EYE-Sac Grounded||
878|She Who Walks Behind The Stalks|13|26|850|800||6184:1:1:Stalkwalker Defeated||
879|Candy Corn|-1|0|25|25||6111:5:0:Candy Corn||
880|Mogloween Defender|-1|0|25|25||6212:5:1:Mogloween Defender Medal||
881|Mega Mogloween Defender|-1|0|30|30||6213:1:1:Mega Mogloween Defender Medal||
882|Skull Of A Lich!|-1|0|50|50|U|6268:1:1:Hollowsoul Lich Skull|6257:1:0:Hollow Revenant|
883|Fiends in High Places|34|1|400|400|O|6311:15:1:Slain Sky Pirate||
884|A Whirled Wide Traveler|34|2|550|500|O|6312:1:1:Boiler Clogged||
885|Boiler Spoiler|34|3|600|650|O|6313:1:1:Gel-O-No Defeated||
886|This Fight Will Dragon|34|4|800|700|O|6314:1:1:Sky Pirate Dragon Slain||
887|Things Are Looking Up|34|5|850|800|O|6315:8:1:Sky Pirate Medal of Dishonor,6316:1:1:Gel-O-No Medal of Dishonor,6317:1:1:Sky Dragon Medal of Dishonor||
888|Don’t Get Mad, Get Gladius|34|6|1200|1500|O|6318:1:1:Gladius Defeated||
889|Gel-Oh-No Box|-1|0|0|0||6322:10:1:Gel-O-No Gelatin Box|6312:1:1:Boiler Clogged|
890|Cyser-no!|-1|0|0|0||6340:4:1:Popped Cysero Balloon|41936:1:0:Turdraken Down Cloak|
891|Pink Balloon of Doom|-1|0|0|0||6341:4:1:Popped Beleen Balloon|32304:1:0:The Fowl Cowl|
892|The Hundred Foot Tall Twilly|-1|0|0|0||6342:1:1:Popped Twilly Balloon|32305:1:0:Turdraken Scale Armor|
893|Turtle Shells Pop Balloons|14|15|850|700|U|6343:10:1:Red Turtle Shells||
894|Make things Pop with a Sentry Bot|14|16|900|800|U|6345:2:1:Captured Sentry Bot||
895|Web Browsing for Balloons|14|17|0|0|U|6346:1:1:Gressiled Web|32294:1:0:Settler's Double Sword|
896|Complete Airheads|14|18|0|0|U|6348:4:1:Deflated Beleen,6347:4:1:Deflated Cysero|32298:1:0:Wishbone Pet|
897|The Final Pilgrimage |14|19|0|0|U|6349:1:1:Deflated Twilly Balloon|32289:1:0:Cysero Balloon,32290:1:0:Beleen Balloon,32291:1:0:Twilly Balloon|
898|Chasing After a Girl|2|13|100|100|O|6408:1:0:C.P.S.||
899|Tracking Down Nythera|2|14|300|200|O|6409:1:1:Nythera Found||
900|Searching for Splinters|2|15|300|250|O|6431:15:1:Void Splinter||
901|A-Void-ing The Larva|2|16|400|350|O|6432:10:1:Larva Tarsus||
902|Spawn Point|2|17|550|500|O|6433:8:1:Spawn Pronotum||
903|Null and Void Spheres|2|18|700|700|O|6434:1:0:Red Void Sphere,6435:1:0:Blue Void Sphere,6436:1:0:Green Void Sphere,6437:1:0:Yellow Void Sphere||
904|Enter the Great Void Dragon's Lair|2|19|800|850|O|6438:1:1:Confronted Void Dragon||
905|Spirit Abducted|17|17|0|0||||
906|Shaking the Globes|17|18|0|0|O|6544:10:1:Shaken Snow Globe,18344:1:1:Globe Detector||
907|A Demonstration|17|19|0|0||6545:10:1:Defeated Snow Golem||
908|Hearts of Ice|17|20|0|0||6546:6:1:Heart Of Ice||
909|Defeat Garaja|17|21|0|0||6547:1:1:Garaja Defeated||
910|Springing Traps|17|22|0|0|O|6548:10:1:Trap Disarmed,18345:1:1:Trap Detector||
911|Frost Lions|17|23|0|0||6549:10:1:Lion Destroyed||
912|Onslaught Keyrings|17|24|0|0||6550:4:1:Onslaught Keyring||
913|Defeat Lionfang|17|25|0|0||6551:1:1:Lionfang Defeated||
914|Tinsel's Weapon Gift|-1|0|0|0||15372:1:1:Tinsel's Sword Bow|66185:1:0:NulyClaws Knuckle Sword,66186:1:0:NulyClaws Knuckle Swords|
915|Tinsel's Helm Gift|-1|0|0|0||15373:1:1:Tinsel's Helm Bow|66180:1:0:NulyClaws Hood,66181:1:0:NulyClaws Hat + Beard,66182:1:0:NulyClaws Festive Fiend Hat,66183:1:0:NulyClaws Festive Fiend Hat + Locks|
916|Dissertations Bupers Camel|-1|0|150|150||6609:10:1:Bupers Camel Document||
917|Crafty Creepers: A Favorite of Mine|-1|0|150|150||18364:2:1:Camel Skull,6610:8:1:Cactus Creeper Head||
918|Running a Stable Stable|-1|0|150|150||7475:7:1:Camel Fur,6620:5:1:Palm Plant Frond,6611:12:1:Pile of Sand||
919|Parched Pets|-1|0|150|150||6612:10:1:Barrel of Desert Water||
920|Vase Case|-1|0|75|75||6613:9:1:Ceramic Vase Fragment,18363:3:1:Vase Contents||
921|Oasis Ornaments|-1|0|150|150||6614:4:1:Oasis Jewelry Piece,6615:8:1:Sandsea Cotton||
922|The Power of Pomade|-1|0|150|150||6616:7:1:Flexible Camel Spit||
